id,pt,en,focus
270,"Vale a pena comprar fruta agora, ou esperamos um pouco?","Is it worth buying fruit now, or do we wait a bit?",vale a pena
271,Hoje vou ouvir a rádio e depois descansar um pouco.,Today I'll listen to the radio and then rest a bit.,depois
272,"Se tiver tempo, vou carregar o telefone ainda hoje.","If I have time, I'll charge the phone today.",se tiver tempo
273,"Vale a pena tratar do pedido agora, ou esperamos um pouco?","Is it worth handling the request now, or do we wait a bit?",vale a pena
274,Hoje vou fazer um café e depois descansar um pouco.,Today I'll make a coffee and then rest a bit.,depois
275,"Se tiver tempo, vou preparar o almoço ainda hoje.","If I have time, I'll prepare lunch today.",se tiver tempo
276,"Vale a pena limpar a cozinha agora, ou esperamos um pouco?","Is it worth cleaning the kitchen now, or do we wait a bit?",vale a pena
277,Hoje vou fazer isto bem e depois descansar um pouco.,Today I'll do this well and then rest a bit.,depois
278,"Se tiver tempo, vou guardar o ficheiro ainda hoje.","If I have time, I'll save the file today.",se tiver tempo
279,"Vale a pena ver um filme agora, ou esperamos um pouco?","Is it worth watching a movie now, or do we wait a bit?",vale a pena
280,Hoje vou praticar português e depois descansar um pouco.,Today I'll practice Portuguese and then rest a bit.,depois
281,"Se tiver tempo, vou comprar água ainda hoje.","If I have time, I'll buy water today.",se tiver tempo
282,"Vale a pena preparar o jantar agora, ou esperamos um pouco?","Is it worth preparing dinner now, or do we wait a bit?",vale a pena
283,Hoje vou chegar bem e depois descansar um pouco.,Today I'll arrive safely and then rest a bit.,depois
284,"Se tiver tempo, vou rever a lição ainda hoje.","If I have time, I'll review the lesson today.",se tiver tempo
285,"Vale a pena escrever o e-mail agora, ou esperamos um pouco?","Is it worth writing the email now, or do we wait a bit?",vale a pena
286,Hoje vou guardar o ficheiro e depois descansar um pouco.,Today I'll save the file and then rest a bit.,depois
287,"Se tiver tempo, vou ver isso juntos ainda hoje.","If I have time, I'll look at that together today.",se tiver tempo
288,"Vale a pena treinar um pouco agora, ou esperamos um pouco?","Is it worth practicing a little now, or do we wait a bit?",vale a pena
289,Hoje vou limpar a cozinha e depois descansar um pouco.,Today I'll clean the kitchen and then rest a bit.,depois
290,"Se tiver tempo, vou organizar as ideias ainda hoje.","If I have time, I'll organize my thoughts today.",se tiver tempo
291,"Vale a pena fazer um café agora, ou esperamos um pouco?","Is it worth making a coffee now, or do we wait a bit?",vale a pena
292,Hoje vou sair cedo e depois descansar um pouco.,Today I'll leave early and then rest a bit.,depois
293,"Se tiver tempo, vou arrumar a casa ainda hoje.","If I have time, I'll tidy the house today.",se tiver tempo
294,"Vale a pena enviar o documento agora, ou esperamos um pouco?","Is it worth sending the document now, or do we wait a bit?",vale a pena
295,Hoje vou marcar a reunião e depois descansar um pouco.,Today I'll schedule the meeting and then rest a bit.,depois
296,"Se tiver tempo, vou praticar português ainda hoje.","If I have time, I'll practice Portuguese today.",se tiver tempo
297,"Vale a pena fazer isto bem agora, ou esperamos um pouco?","Is it worth doing this well now, or do we wait a bit?",vale a pena
298,Hoje vou ver isso juntos e depois descansar um pouco.,Today I'll look at that together and then rest a bit.,depois
299,"Se tiver tempo, vou comprar fruta ainda hoje.","If I have time, I'll buy fruit today.",se tiver tempo
300,"Vale a pena guardar o ficheiro agora, ou esperamos um pouco?","Is it worth saving the file now, or do we wait a bit?",vale a pena
